city,pm25,pm10,population,color_pm10,color_pm25,population_count,data_value
Fresno,13.05,27.2130206577107,711610,yellow,yellow,2629,8.9
Cleveland,9.7,20.2273027110953,1772872,yellow,green,2629,22.1
Washington,7.2,15.0140803628749,4955139,green,green,2630,13.1
Oakland,7.83333333333333,16.3347633577574,420005,green,green,2630,10.9
New York,6.625,13.8150392227842,8174962,green,green,2630,11.3
Philadelphia,9.46,19.7268333656661,5585211,green,green,2631,12.7
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2631,10.5
Detroit,8.4,17.5164270900207,3639050,green,green,2631,13.6
New York,6.625,13.8150392227842,8174962,green,green,2632,9.4
New York,6.625,13.8150392227842,8174962,green,green,2632,9.8
Washington,7.2,15.0140803628749,4955139,green,green,2633,14.2
Jacksonville,7.3,15.2226092568037,1171962,green,green,2633,3.9
Kansas City,7.6,15.8481959385901,1604389,green,green,2634,9.4
New York,6.625,13.8150392227842,8174962,green,green,2634,11.1
Detroit,8.4,17.5164270900207,3639050,green,green,2634,17.7
New York,6.625,13.8150392227842,8174962,green,green,2635,15.3
New York,6.625,13.8150392227842,8174962,green,green,2635,9.2
Phoenix,8.68,18.1003079930214,1447624,green,green,2638,13.2
New York,6.625,13.8150392227842,8174962,green,green,2638,12.1
Springfield,7.1,14.805551468946,646013,green,green,2638,15
Yuma,8.3,17.3078981960919,195751,green,green,2640,15.6
Kansas City,7.6,15.8481959385901,1604389,green,green,2640,16.2
St. Joseph,7.8,16.2652537264478,127329,green,green,2640,9.7
New York,6.625,13.8150392227842,8174962,green,green,2640,10.3
Henderson,7.4,15.4311381507325,257295,green,green,2640,7.2
Philadelphia,9.46,19.7268333656661,5585211,green,green,2641,11.8
Fresno,13.05,27.2130206577107,711610,yellow,yellow,2641,11.4
Hartford,7.25,15.1183448098393,962996,green,green,2641,20.3
Scranton,8.2,17.099369302163,378605,green,green,2642,17.5
Miami,7.85,16.3695181734122,5817221,green,green,2642,8.2
Salinas,5.7,11.8861469539426,415057,green,green,2642,9.9
Nashville,9.1,18.9761293475224,969587,green,green,2643,11.7
New York,6.625,13.8150392227842,8174962,green,green,2643,13.2
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2643,9.2
New York,6.625,13.8150392227842,8174962,green,green,2644,9.6
Fayetteville,8.5,17.7249559839495,328726,green,green,2644,15.9
Washington,7.2,15.0140803628749,4955139,green,green,2644,8.3
New York,6.625,13.8150392227842,8174962,green,green,2644,10.6
Louisville,8.15,16.9951048551986,1031932,green,green,2644,22
Fort Wayne,8.36666666666667,17.4469174587111,326960,green,green,2645,16.9
Albuquerque,5,10.4264446964409,826787,green,green,2645,11.1
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2645,7.8
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2645,10.5
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2645,10.1
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2645,9.7
Las Vegas,9.1,18.9761293475224,2270187,green,green,2645,12.6
New York,6.625,13.8150392227842,8174962,green,green,2645,4.2
Albuquerque,5,10.4264446964409,826787,green,green,2646,8.6
Allentown,10.5,21.8955338625258,120443,yellow,yellow,2646,15.7
Mesa,6.7,13.9714358932308,440134,green,green,2646,13.4
New York,6.625,13.8150392227842,8174962,green,green,2647,13.9
Philadelphia,9.46,19.7268333656661,5585211,green,green,2647,5
Baltimore,8.4,17.5164270900207,2266981,green,green,2647,10.4
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2647,7.5
Glendale,6.7,13.9714358932308,226441,green,green,2647,10.2
Baltimore,8.4,17.5164270900207,2266981,green,green,2648,11.8
Detroit,8.4,17.5164270900207,3639050,green,green,2649,18.5
Wilmington,8.9,18.5590715596648,254884,green,green,2649,18.9
Louisville,8.15,16.9951048551986,1031932,green,green,2649,7.8
Clarksville,7.8,16.2652537264478,260625,green,green,2649,10.1
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2650,13
New York,6.625,13.8150392227842,8174962,green,green,2650,12.6
Hartford,7.25,15.1183448098393,962996,green,green,2651,15
Nashville,9.1,18.9761293475224,969587,green,green,2651,7.1
Minneapolis,7.35,15.3268737037681,382603,green,green,2651,5.6
Fayetteville,8.5,17.7249559839495,328726,green,green,2652,6.9
Fort Wayne,8.36666666666667,17.4469174587111,326960,green,green,2652,16.2
New York,6.625,13.8150392227842,8174962,green,green,2652,10.5
Phoenix,8.68,18.1003079930214,1447624,green,green,2652,8.7
Baltimore,8.4,17.5164270900207,2266981,green,green,2652,4.7
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2654,6.7
St. Louis,8.8375,18.4287410009592,2183942,green,green,2654,20.4
Fayetteville,8.5,17.7249559839495,328726,green,green,2654,11.5
Atlanta,10.8,22.5211205443123,5142140,yellow,yellow,2655,9.3
New York,6.625,13.8150392227842,8174962,green,green,2655,13.2
Phoenix,8.68,18.1003079930214,1447624,green,green,2655,11.8
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2656,10.8
New York,6.625,13.8150392227842,8174962,green,green,2656,12.6
New York,6.625,13.8150392227842,8174962,green,green,2656,13.7
New York,6.625,13.8150392227842,8174962,green,green,2657,10.5
Omaha,7.3,15.2226092568037,780190,green,green,2657,14.1
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2657,7.8
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2658,11.4
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2658,9.2
New York,6.625,13.8150392227842,8174962,green,green,2658,7.5
